giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
7;2.00;0.0;10.3;83;3;96;8;81;0;1005.8;-
7;3.00;0.0;10.0;82;5;153;10;91;0;1005.2;-
7;4.00;0.0;9.7;82;3;23;7;168;0;1004.8;-
7;5.00;0.0;10.0;83;4;48;9;165;12;1004.8;-
7;6.00;0.0;10.1;83;4;332;8;60;218;1004.9;-
7;7.00;0.0;11.3;76;3;254;9;236;819;1005.1;-
7;8.00;0.0;11.6;84;5;262;13;266;681;1005.4;-
7;9.00;0.0;11.4;82;8;236;13;224;989;1005.7;-
7;10.00;0.0;11.9;81;8;285;14;267;1524;1005.7;-
7;11.00;0.0;12.0;83;8;297;14;289;1248;1005.9;-
7;12.00;0.0;12.5;78;4;327;10;306;777;1005.8;-
7;13.00;0.0;12.2;84;5;221;13;228;748;1006.1;-
7;14.00;0.0;12.1;86;9;223;15;238;619;1006.0;-
7;15.00;0.0;12.1;86;7;326;13;225;635;1006.2;-
7;16.00;0.0;12.5;85;8;322;15;326;741;1006.0;-
7;17.00;0.0;12.2;85;6;301;11;330;403;1006.1;-
7;18.00;0.0;11.9;89;4;339;10;292;44;1006.3;-
7;19.00;0.0;12.0;87;5;167;10;28;0;1006.8;-
7;20.00;0.0;11.9;84;4;197;10;163;0;1007.3;-
7;21.00;0.0;11.7;81;5;9;10;10;0;1007.2;-
7;22.00;0.0;11.9;79;4;175;10;28;0;1006.8;-
7;23.00;0.0;11.4;82;4;204;10;175;0;1006.9;-
7;24.00;0.0;11.4;84;4;38;8;80;0;1006.6;-
8;1.00;0.0;11.0;86;5;122;10;183;0;1006.5;-
8;2.00;0.0;11.1;82;5;112;10;122;0;1006.3;-
8;3.00;0.0;11.0;81;4;31;10;67;0;1005.9;-
8;4.00;0.0;11.0;83;4;206;10;93;0;1005.9;-
8;5.00;0.1;11.0;85;4;335;10;171;5;1005.8;-
8;6.00;0.0;11.1;85;4;322;10;137;193;1006.3;-
8;7.00;0.0;11.3;86;5;265;10;331;413;1006.3;-
8;8.00;0.0;11.5;85;4;276;10;292;467;1006.6;-
8;9.00;0.0;11.7;83;8;293;13;313;899;1006.5;-
8;10.00;0.0;11.6;87;9;293;15;279;1165;1006.5;-
8;11.00;0.0;11.8;85;9;305;17;296;867;1006.5;-
8;12.00;0.4;11.8;85;4;234;10;291;503;1006.3;-
8;13.00;0.5;11.6;90;5;192;11;285;244;1006.0;-
8;14.00;0.0;12.1;86;5;244;11;213;1118;1005.7;-
8;15.00;0.0;12.4;86;3;198;8;252;655;1005.6;-
8;16.00;0.0;12.9;88;4;258;10;34;824;1005.3;-
8;17.00;0.0;13.8;84;5;321;13;303;450;1005.4;-
8;18.00;0.0;13.8;86;5;181;13;185;36;1005.8;-
8;19.00;0.0;13.7;85;6;192;12;164;0;1006.4;-
8;20.00;0.0;13.4;86;4;95;12;197;0;1006.7;-
8;21.00;0.0;14.0;80;5;112;13;28;0;1006.4;-
8;22.00;0.0;12.7;87;8;129;17;64;0;1006.5;-
8;23.00;0.0;14.6;63;9;88;20;125;0;1006.3;-
8;24.00;0.0;14.5;65;8;277;17;271;0;1005.9;-
9;1.00;0.0;12.3;87;10;254;17;200;0;1006.0;-
9;2.00;0.0;12.9;81;7;129;14;287;0;1005.9;-
9;3.00;0.1;12.5;85;5;122;14;176;0;1006.1;-
9;4.00;0.0;12.6;85;5;103;10;104;0;1006.3;-
9;5.00;0.0;12.6;87;4;332;9;150;9;1006.4;-
9;6.00;0.0;12.5;89;5;124;12;293;242;1006.6;-
9;7.00;0.0;12.7;87;5;187;13;188;484;1006.7;-
9;8.00;0.0;12.5;87;7;305;15;292;660;1006.8;-
9;9.00;0.0;13.0;88;6;287;14;321;1316;1006.9;-
9;10.00;0.1;12.8;88;5;274;12;254;732;1007.1;-
9;11.00;0.0;12.9;86;7;335;19;321;508;1007.0;-
9;12.00;0.0;13.8;82;19;281;30;283;1411;1006.3;-
9;13.00;0.1;14.3;77;20;312;30;310;887;1006.4;-
9;14.00;0.0;14.2;80;23;314;33;317;1101;1005.7;-
9;15.00;0.0;16.5;63;13;318;23;343;1297;1005.2;-
9;16.00;0.0;15.3;71;21;285;30;279;955;1005.0;-
9;17.00;0.0;14.9;73;19;304;30;295;453;1005.0;-
9;18.00;0.0;14.8;75;16;315;26;314;77;1005.3;-
9;19.00;0.0;15.2;71;9;178;17;357;0;1005.7;-
9;20.00;0.0;14.8;75;6;84;12;125;0;1005.7;-
9;21.00;0.0;14.5;75;6;162;18;164;0;1005.7;-
9;22.00;0.0;14.0;77;3;324;9;151;0;1005.7;-
9;23.00;0.0;13.0;86;5;50;11;246;0;1005.7;-
9;24.00;0.0;13.0;87;3;254;11;254;0;1005.5;-
10;1.00;0.0;12.9;88;6;66;13;10;0;1005.3;-
10;2.00;0.0;12.4;88;4;68;11;177;0;1005.1;-
10;3.00;0.0;11.8;89;4;37;11;198;0;1005.3;-
10;4.00;0.0;12.2;86;8;149;14;59;0;1005.3;-
10;5.00;0.0;12.6;83;5;91;14;185;9;1005.4;-
10;6.00;0.0;12.9;79;4;178;10;119;156;1005.5;-
10;7.00;0.0;14.2;72;8;159;13;157;284;1005.5;-
10;8.00;0.0;12.6;87;10;258;19;271;640;1006.1;-
10;9.00;0.0;12.7;90;10;298;18;271;1409;1006.4;-
10;10.00;0.0;12.9;90;9;309;16;323;2040;1005.9;-
10;11.00;0.0;13.6;87;6;280;12;294;3110;1005.2;-
10;12.00;0.0;13.6;88;10;262;21;264;1333;1004.8;-
10;13.00;0.4;14.5;81;15;180;25;267;557;1005.1;-
10;14.00;2.2;13.3;85;17;102;37;139;57;1005.9;-
10;15.00;1.8;13.3;83;19;126;30;124;173;1005.6;-
10;16.00;0.0;13.9;80;16;120;26;116;217;1005.3;-
10;17.00;0.1;13.3;83;14;122;25;123;89;1005.6;-
10;18.00;0.2;13.0;85;12;154;21;159;11;1006.0;-
10;19.00;0.3;12.6;88;7;72;18;172;0;1006.9;-
10;20.00;0.5;12.1;90;5;262;11;227;0;1007.4;-
10;21.00;1.5;11.6;92;7;265;13;265;0;1007.7;-
10;22.00;3.5;11.3;94;6;352;12;336;0;1007.6;-
10;23.00;1.5;11.3;95;4;349;10;338;0;1007.6;-
10;24.00;1.4;11.3;96;5;304;10;330;0;1007.2;-
11;1.00;1.2;11.3;97;7;329;14;317;0;1007.0;-
11;2.00;1.0;11.3;98;5;215;13;333;0;1007.1;-
11;3.00;0.5;11.4;98;4;292;9;290;0;1006.9;-
11;4.00;1.2;12.0;94;6;315;13;294;0;1007.0;-
11;5.00;1.0;12.9;-;14;73;30;40;2;1007.3;-
11;6.00;0.5;12.6;79;8;128;24;57;44;1007.8;-
11;7.00;0.8;12.4;76;9;95;21;85;146;1008.2;-
11;8.00;0.2;12.3;80;10;276;21;88;331;1008.6;-
11;9.00;0.0;13.7;71;6;306;15;279;474;1009.1;-
11;10.00;0.0;14.1;63;20;60;51;51;1023;1009.0;-
11;11.00;0.0;13.7;65;38;54;60;50;717;1009.4;-
11;12.00;0.0;13.8;64;35;68;55;48;745;1009.8;-
11;13.00;0.0;14.2;62;32;63;54;43;636;1009.8;-
11;14.00;0.0;14.0;63;32;69;52;54;611;1009.8;-
11;15.00;0.0;13.7;65;35;64;53;78;565;1009.8;-
11;16.00;0.0;13.7;62;35;64;55;80;649;1009.7;-
11;17.00;0.0;13.3;63;36;60;57;50;185;1009.8;-
11;18.00;0.0;13.1;61;39;53;56;57;27;1010.2;-
11;19.00;0.0;12.8;62;35;62;59;52;0;1011.1;-
11;20.00;0.0;12.9;60;37;67;58;72;0;1011.3;-
11;21.00;0.0;12.7;62;40;62;59;59;0;1011.6;-
11;22.00;0.0;12.4;63;39;65;55;54;0;1011.9;-
11;23.00;0.0;12.1;65;36;61;56;64;0;1012.0;-
11;24.00;0.0;12.2;62;31;81;53;67;0;1012.0;-
12;1.00;0.0;11.9;64;27;69;49;42;0;1011.9;-
12;2.00;0.0;11.6;65;27;65;46;62;0;1012.0;-
12;3.00;0.0;11.1;67;33;60;58;58;0;1011.5;-
12;4.00;0.0;10.8;67;49;62;69;73;0;1011.6;-
12;5.00;0.0;10.6;67;49;58;68;46;12;1011.6;-
12;6.00;0.0;10.4;66;52;62;70;66;89;1012.2;-
12;7.00;0.0;10.4;68;49;56;68;47;128;1012.1;-
12;8.00;0.0;10.9;66;50;48;77;56;310;1012.7;-
12;9.00;0.0;11.0;66;34;50;57;47;443;1013.6;-
12;10.00;0.0;10.9;63;26;56;46;39;428;1013.9;-
12;11.00;0.0;11.5;58;22;89;40;59;490;1013.7;-
12;12.00;0.0;11.9;57;19;77;44;98;539;1013.6;-
12;13.00;0.0;12.1;56;21;93;35;99;328;1013.3;-
12;14.00;0.0;11.9;58;19;52;41;95;326;1013.1;-
12;15.00;0.3;11.2;64;22;67;39;78;227;1013.0;-
12;16.00;0.4;10.6;68;30;55;47;43;108;1013.1;-
12;17.00;0.5;10.6;66;33;61;49;49;37;1013.2;-
12;18.00;0.6;10.5;66;34;55;60;58;4;1013.5;-
12;19.00;0.1;10.3;63;21;94;44;48;0;1014.1;-
12;20.00;0.0;10.1;62;17;75;45;97;0;1014.4;-
12;21.00;0.0;10.2;61;15;81;32;67;0;1014.7;-
12;22.00;0.0;10.0;61;17;65;34;34;0;1015.1;-
12;23.00;0.1;9.7;62;17;81;34;73;0;1015.4;-
12;24.00;0.3;9.8;62;10;79;30;45;0;1015.2;-
13;1.00;0.3;9.4;65;14;67;33;76;0;1015.0;-
13;2.00;0.3;9.5;62;22;73;46;65;0;1014.9;-
13;3.00;0.0;9.4;64;17;62;42;53;0;1014.5;-
13;4.00;0.0;9.3;62;31;84;52;67;0;1014.0;-
13;5.00;0.0;9.1;63;39;70;62;60;13;1014.0;-
13;6.00;0.0;9.5;63;40;70;64;58;88;1014.1;-
13;7.00;0.0;9.7;62;47;60;71;61;93;1014.6;-
13;8.00;0.0;10.2;57;40;67;68;61;162;1014.9;-
13;9.00;0.0;10.9;56;36;57;61;49;373;1015.0;-
13;10.00;0.0;11.6;54;31;52;53;45;1058;1014.9;-
13;11.00;0.0;12.4;50;36;63;54;59;894;1014.6;-
13;12.00;0.0;13.0;47;37;60;56;51;1494;1014.4;-
13;13.00;0.0;13.3;47;34;52;49;47;1671;1014.2;-
13;14.00;0.0;13.8;41;26;78;45;48;1818;1014.0;-
13;15.00;0.0;13.8;41;26;83;43;79;2089;1013.6;-
13;16.00;0.0;13.1;46;24;47;40;67;1083;1013.5;-
13;17.00;0.0;12.9;44;24;65;40;94;406;1013.5;-
13;18.00;0.0;12.3;45;15;93;28;96;84;1013.8;-
13;19.00;0.0;11.9;51;22;67;40;55;0;1014.1;-
13;20.00;0.0;11.7;55;33;49;52;53;0;1014.2;-
13;21.00;0.0;11.1;58;40;56;63;55;0;1014.2;-
13;22.00;0.0;10.9;57;40;62;59;45;0;1014.1;-
13;23.00;0.0;10.8;58;34;65;58;48;0;1013.9;-
13;24.00;0.0;10.4;59;28;67;56;56;0;1013.5;-
14;1.00;0.0;10.1;62;32;63;52;52;0;1012.7;-
14;2.00;0.0;10.1;62;42;57;60;65;0;1012.4;-
14;3.00;0.0;10.0;64;41;59;62;56;0;1012.2;-
14;4.00;0.0;9.9;64;39;61;60;56;0;1012.4;-
14;5.00;0.0;9.9;64;39;57;61;59;9;1012.6;-
14;6.00;0.0;9.9;64;40;55;59;48;106;1012.8;-
14;7.00;0.0;10.2;62;42;58;63;49;359;1012.8;-
14;8.00;0.0;10.5;62;44;55;62;64;685;1013.0;-
14;9.00;0.0;11.0;61;41;60;60;55;1327;1013.1;-
14;10.00;0.0;11.3;61;40;56;60;49;1267;1013.1;-
14;11.00;0.0;12.4;56;31;53;49;41;1687;1012.9;-
14;12.00;0.0;12.6;58;32;54;49;48;1867;1012.8;-
14;13.00;0.0;12.8;58;39;63;55;45;1898;1012.6;-
14;14.00;0.0;12.6;59;40;60;58;46;2154;1012.5;-
14;15.00;0.0;12.8;59;42;57;59;58;1918;1012.3;-
14;16.00;0.0;11.9;62;46;51;65;62;1375;1012.4;-
14;17.00;0.0;11.6;63;49;59;72;43;448;1012.6;-
14;18.00;0.0;11.3;63;51;55;76;49;125;1013.5;-
14;19.00;0.0;11.3;64;50;56;69;85;0;1014.1;-
14;20.00;0.0;11.1;68;48;53;68;55;0;1014.9;-
14;21.00;0.0;11.0;69;52;50;69;45;0;1014.9;-
14;22.00;0.0;11.1;68;56;53;85;59;0;1014.8;-
14;23.00;0.0;11.1;69;52;59;74;59;0;1014.9;-
14;24.00;0.0;11.2;65;27;99;69;56;0;1016.2;-
15;1.00;0.0;11.2;65;19;94;47;54;0;1016.2;-
15;2.00;0.0;11.6;68;38;44;65;31;0;1016.2;-
15;3.00;0.0;11.8;65;42;62;69;46;0;1016.5;-
15;4.00;0.0;11.6;65;50;59;76;67;0;1016.9;-
15;5.00;0.0;12.0;65;44;54;65;50;81;1017.1;-
15;6.00;0.0;12.5;61;37;64;58;64;458;1018.3;-
15;7.00;0.0;13.0;58;35;54;51;74;1190;1019.0;-
15;8.00;0.0;13.8;52;27;70;55;27;1447;1019.4;-
15;9.00;0.0;14.8;48;24;68;44;67;1557;1019.4;-
15;10.00;0.0;16.0;44;22;60;44;69;2120;1019.0;-
15;11.00;0.0;16.3;44;24;48;48;73;2845;1019.0;-
15;12.00;0.0;17.4;35;26;85;46;54;3128;1018.8;-
15;13.00;0.0;17.2;41;23;45;40;59;2793;1018.1;-
15;14.00;0.0;17.6;36;24;64;46;96;2249;1017.9;-
15;15.00;0.0;17.6;34;26;65;44;42;1987;1017.7;-
15;16.00;0.0;17.6;35;23;66;36;62;1293;1017.7;-
15;17.00;0.0;17.7;32;18;92;35;74;609;1017.9;-
15;18.00;0.0;16.9;34;16;87;28;75;96;1018.5;-
15;19.00;0.0;15.9;39;16;78;31;82;0;1019.1;-
15;20.00;0.0;15.1;40;17;89;28;70;0;1019.3;-
15;21.00;0.0;14.6;42;15;155;31;98;0;1019.7;-
15;22.00;0.0;13.9;42;9;91;22;236;0;1020.2;-
15;23.00;0.0;13.0;46;7;187;15;81;0;1020.2;-
15;24.00;0.0;12.7;45;10;110;23;96;0;1020.0;-
16;1.00;0.0;13.0;43;9;147;21;106;0;1019.8;-
16;2.00;0.0;11.9;55;10;42;19;45;0;1020.0;-
16;3.00;0.0;11.5;48;11;90;18;76;0;1020.0;-
16;4.00;0.0;11.6;46;12;89;22;64;0;1019.7;-
16;5.00;0.0;11.9;45;11;121;18;105;60;1019.8;-
16;6.00;0.0;12.7;46;6;107;16;137;531;1020.0;-
16;7.00;0.0;13.2;44;8;200;14;146;1164;1019.8;-
16;8.00;0.0;12.9;53;8;314;18;306;1771;1019.8;-
16;9.00;0.0;13.0;56;14;323;20;327;2364;1019.8;-
16;10.00;0.0;13.5;55;12;309;19;310;2863;1019.7;-
16;11.00;0.0;13.8;56;10;335;16;334;3128;1019.2;-
16;12.00;0.0;14.3;59;7;289;12;274;3079;1018.8;-
16;13.00;0.0;15.1;54;6;39;15;295;2917;1018.4;-
16;14.00;0.0;14.2;62;8;233;16;263;2547;1018.2;-
16;15.00;0.0;14.6;61;5;122;11;75;1948;1018.4;-
16;16.00;0.0;15.0;52;4;40;15;334;1289;1018.4;-
16;17.00;0.0;14.6;55;5;234;12;226;610;1018.9;-
16;18.00;0.0;14.3;53;3;197;10;165;88;1019.1;-
16;19.00;0.0;13.7;55;5;39;11;161;0;1019.5;-
16;20.00;0.0;13.9;44;7;90;13;73;0;1019.8;-
16;21.00;0.0;12.7;57;5;139;14;62;0;1019.6;-
16;22.00;0.0;12.3;60;3;100;9;189;0;1019.7;-
16;23.00;0.0;11.8;62;5;170;9;92;0;1019.7;-
16;24.00;0.0;11.5;64;3;174;7;183;0;1019.6;-
17;1.00;0.0;11.6;65;3;76;9;52;0;1019.8;-
17;2.00;0.0;11.2;63;4;93;9;43;0;1019.7;-
17;3.00;0.0;10.9;68;5;68;11;187;0;1019.7;-
17;4.00;0.0;10.2;71;6;171;12;71;0;1019.6;-
17;5.00;0.0;10.6;70;4;130;9;158;72;1019.8;-
17;6.00;0.0;11.5;73;3;7;7;17;495;1020.0;-
17;7.00;0.0;11.8;73;4;323;9;25;1125;1019.9;-
17;8.00;0.0;12.1;75;8;292;12;324;1720;1020.0;-
17;9.00;0.0;12.6;72;11;297;17;311;2249;1020.2;-
17;10.00;0.0;13.0;73;10;262;21;296;2843;1020.1;-
17;11.00;0.0;14.2;64;4;258;12;274;2994;1019.8;-
17;12.00;0.0;15.3;59;4;190;12;257;3107;1019.6;-
17;13.00;0.0;15.0;69;6;211;15;223;2941;1019.2;-
17;14.00;0.0;15.1;69;6;224;13;206;2413;1019.1;-
17;15.00;0.0;15.5;62;5;71;12;241;1896;1019.0;-
17;16.00;0.0;15.0;68;7;241;13;215;937;1019.4;-
17;17.00;0.0;15.2;63;4;34;12;30;410;1019.5;-
17;18.00;0.0;16.1;56;6;57;11;59;106;1020.1;-
17;19.00;0.0;16.3;50;9;83;17;100;0;1020.9;-
17;20.00;0.0;15.6;53;7;97;15;60;0;1021.6;-
17;21.00;0.0;16.3;42;10;130;21;133;0;1022.0;-
17;22.00;0.0;16.5;39;16;94;44;89;0;1022.6;-
17;23.00;0.0;15.5;45;16;68;46;50;0;1022.8;-
17;24.00;0.0;15.4;47;36;60;56;61;0;1022.5;-
18;1.00;0.0;15.0;49;41;62;56;56;0;1022.6;-
18;2.00;0.0;15.2;45;31;87;54;58;0;1023.1;-
18;3.00;0.0;15.1;44;15;94;31;112;0;1023.2;-
18;4.00;0.0;14.5;46;15;108;36;65;0;1023.6;-
18;5.00;0.0;14.9;46;6;55;19;91;103;1024.2;-
18;6.00;0.0;15.0;48;9;346;29;57;647;1024.6;-
18;7.00;0.0;16.3;45;11;249;34;347;1276;1024.4;-
